Row_ID,Date,Location,Survey_No,Survey_Start_Time,Start_Location,BSS,DSS,Vessels,JetSkis,Swimmers,Dolphin_Sighting,Sighting_Start_Time,Sighting_End_Time,Dolphin_Interaction,Interaction_Start_Time,Interaction_End_Time,Effort,Survey_End_Time,Total_Time,End_Location,NOTES
5407629,7/16/2024,Icacos,4,13:28:00,Pier,2,1,27,3,96,No,NA,NA,No,NA,NA,On,13:43:00,15,Icacos_Reef_Point,
5407624,7/16/2024,Palominos,5,12:08:00,No_Lifeguard_Sign ,1,1,1,1,67,No,NA,NA,No,NA,NA,On,12:14:00,6,Dock,16 vessels in public side 
5407627,7/16/2024,Palominos,6,12:48:00,No_Lifeguard_Sign ,1,1,1,1,71,No,NA,NA,No,NA,NA,On,12:54:00,6,Dock,20 boats on the public side
5407628,7/16/2024,Palominos,7,13:11:00,No_Lifeguard_Sign ,1,1,0,3,57,No,NA,NA,No,NA,NA,On,13:18:00,7,Dock ,14 boats in public area
5407630,7/16/2024,Palominos,8,13:36:00,No_Lifeguard_Sign ,1,1,0,3,66,No,NA,NA,No,NA,NA,On,13:43:00,7,Dock,16 boat on public side
5407631,7/16/2024,Palominos,9,14:03:00,No_Lifeguard_Sign ,1,1,1,0,69,No,NA,NA,No,NA,NA,On,14:10:00,7,Dock,16 boats in public area
5407856,7/16/2024,Palominos,10,14:27:00,No_Lifeguard_Sign ,1,2,1,2,50,No,NA,NA,No,NA,NA,On,14:33:00,6,Dock,18 boats in public area
5407634,7/16/2024,Palominos,11,14:48:00,No_Lifeguard_Sign ,1,2,1,2,50,No,NA,NA,No,NA,NA,On,14:53:00,5,Dock ,21 boats in public area
5407888,7/17/2024,Icacos,1,10:04:00,Pier,1,1,26,2,158,No,NA,NA,No,NA,NA,On,10:14:00,10,Rock_Pile,
5407982,7/17/2024,Icacos,2,10:45:00,Pier,1,1,16,1,136,No,NA,NA,No,NA,NA,On,10:57:00,12,Rock_Pile,
5407983,7/17/2024,Icacos,3,11:19:00,Old_Pilings,1,1,19,0,196,No,NA,NA,No,NA,NA,On,11:30:00,11,Rock_Pile,
5409313,7/17/2024,Icacos,4,11:57:00,Old_Pilings,1,1,18,1,199,No,NA,NA,No,NA,NA,On,12:09:00,12,Rock_Pile,
5409314,7/17/2024,Icacos,5,12:35:00,Old_Pilings,1,1,69,1,13,No,NA,NA,No,NA,NA,On,12:45:00,10,Rock_Pile,
5407986,7/17/2024,Icacos,6,13:18:00,Old_Pilings,1,1,16,4,75,No,NA,NA,No,NA,NA,On,13:30:00,12,Rock_Pile,
5407987,7/17/2024,Icacos,7,14:00:00,Old_Pilings,1,1,1,3,59,No,NA,NA,No,NA,NA,On,14:11:00,11,Rock_Pile,
5409290,7/18/2024,Icacos,1,9:58:00,Old_Pilings,1,1,12,4,170,No,NA,NA,No,NA,NA,On,10:13:00,15,Rock_Pile,5 boats on reef
5409291,7/18/2024,Icacos,2,10:48:00,Old_Pilings,1,1,25,3,106,No,NA,NA,No,NA,NA,On,11:01:00,13,Rock_Pile,2 boats on reef
5409292,7/18/2024,Icacos,3,11:44:00,Old_Pilings,1,1,18,3,142,No,NA,NA,No,NA,NA,On,11:57:00,13,Rock_Pile,2 boats in the reef
5409293,7/18/2024,Icacos,4,12:33:00,Old_Pilings,1,1,19,4,76,No,NA,NA,No,NA,NA,On,12:45:00,12,Rock_Pile,2 boats on reef
5409294,7/18/2024,Icacos,5,13:21:00,Old_Pilings,1,1,1,6,170,No,NA,NA,No,NA,NA,On,13:33:00,12,Rock_Pile,2 boats by reef 
5409295,7/18/2024,Icacos,6,14:10:00,Old_Pilings,1,1,13,7,80,No,NA,NA,No,NA,NA,On,14:21:00,11,Rock_Pile,4 boats on reef
5410339,7/20/2024,Icacos,1,9:43:00,Old_Pilings,1,1,15,4,156,No,NA,NA,No,NA,NA,On,9:54:00,11,Rock_Pile,3 boats at reef
5410340,7/20/2024,Icacos,2,10:27:00,Old_Pilings,1,1,28,8,237,No,NA,NA,No,NA,NA,On,10:38:00,11,Rock_Pile,1 boat on reef
5410341,7/20/2024,Icacos,3,11:20:00,Old_Pilings,1,1,36,5,182,No,NA,NA,No,NA,NA,On,11:32:00,12,Rock_Pile,1 boat in reef
5410342,7/20/2024,Icacos,4,12:12:00,Old_Pilings,1,1,35,8,228,No,NA,NA,No,NA,NA,On,12:24:00,12,Rock_Pile,2 boats in reef
5410343,7/20/2024,Icacos,5,12:59:00,Old_Pilings,1,1,38,9,230,No,NA,NA,No,NA,NA,On,13:11:00,12,Rock_Pile,2 boats in reef
5410344,7/20/2024,Icacos,6,13:48:00,Old_Pilings,1,1,52,4,260,No,NA,NA,No,NA,NA,On,13:59:00,11,Rock_Pile,0 boats in reef
